ValenceBand,ConductionBand,CrystalDirection,mvb,mcb,mcb_indirect,Bandgap,IndirectBandgap,ElectronAffinity,ValenceBandShape,CollisionTime,epsilonStatic,epsilonInf,NumBonds,LatticeConstant,Density,MolarMass (g/mol),DeformationPotential,SpeedofSound,PhononFrequency,Tphonon,SellmeierForm,B1,C1,B2,C2,B3,C3,MinWavelength,MaxWavelength,Wavelength,n,kappa
HeavyHole,CB1,[111],7,0.5,,9.1,,0.8,Kane,0.01,,,12,5.187,2480,60.0843,,,,,1,0.6961663,0.004679148,0.4079426,0.013512063,0.8974794,97.93400254,0.21,6.7,190.7,,0
LightHole,CB1,[111],1.3,0.5,,9.1,,,Kane,,,,,,,,,,,,,,,,,,,,,198.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.7,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.7,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.7,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.7,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.7,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.7,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.7,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.7,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.7,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.7,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.7,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.7,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.7,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.7,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.4,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.2,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.5,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.9,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.7,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.8,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805.1,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.7,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.6,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1532,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437.3,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,,0
