ValenceBand,ConductionBand,CrystalDirection,mvb,mcb,mcb_indirect,Bandgap,IndirectBandgap,ElectronAffinity,ValenceBandShape,CollisionTime,epsilonStatic,epsilonInf,LatticeConstant,NumBonds,Density,DeformationPotential,SpeedofSound,PhononFrequency,Tphonon,SellmeierForm,B1,C1,B2,C2,B3,C3,MinWavelength,MaxWavelength,Wavelength,n,kappa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.43,2.9149,0.54872
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.22,2.9143,0.54653
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.02,2.9137,0.54432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361.82,2.9131,0.5421
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.63,2.9126,0.53986
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.44,2.9121,0.53761
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.25,2.9116,0.53533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.07,2.9111,0.53303
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.89,2.9106,0.53071
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.71,2.9102,0.52837
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.54,2.9097,0.52601
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.37,2.9093,0.52362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.21,2.9089,0.5212
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.05,2.9085,0.51876
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.89,2.9082,0.5163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.74,2.9078,0.5138
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.59,2.9074,0.51128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.44,2.9071,0.50873
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.3,2.9067,0.50615
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.16,2.9063,0.50354
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.03,2.906,0.5009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.9,2.9056,0.49823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.77,2.9052,0.49552
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.65,2.9048,0.49279
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.54,2.9044,0.49003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.42,2.9039,0.48724
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.31,2.9034,0.48443
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382.21,2.9029,0.48159
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.11,2.9022,0.47874
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.01,2.9016,0.47587
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.92,2.9008,0.473
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.83,2.9,0.47014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.75,2.899,0.4673
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387.67,2.8979,0.46451
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.59,2.8966,0.46179
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.52,2.8952,0.45918
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.46,2.8935,0.45674
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.4,2.8916,0.45455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.34,2.8895,0.45273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.29,2.887,0.45142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.24,2.8843,0.45087
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.2,2.8815,0.4514
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.16,2.8788,0.45343
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.13,2.8768,0.45748
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.1,2.8767,0.4639
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399.07,2.8805,0.47238
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.05,2.8901,0.48102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.04,2.9064,0.48592
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.03,2.9268,0.48235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.02,2.9449,0.46878
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404.02,2.9552,0.44936
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.03,2.9577,0.42987
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.04,2.9551,0.41337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.05,2.9501,0.40032
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.07,2.9444,0.39011
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409.1,2.9387,0.382
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.13,2.9334,0.37536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.17,2.9285,0.36975
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412.21,2.9241,0.36487
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,413.25,2.9202,0.36049
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.3,2.9166,0.35647
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.36,2.9133,0.3527
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.42,2.9103,0.34912
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.49,2.9075,0.34565
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.57,2.905,0.34227
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.64,2.9027,0.33894
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.73,2.9005,0.33564
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.82,2.8984,0.33235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.91,2.8965,0.32906
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.02,2.8946,0.32575
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.12,2.8929,0.32241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426.24,2.8912,0.31904
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.35,2.8895,0.31563
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428.48,2.8879,0.31217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429.61,2.8863,0.30866
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.75,2.8847,0.30509
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.89,2.8831,0.30146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.04,2.8814,0.29778
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434.19,2.8798,0.29403
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.35,2.878,0.29022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.52,2.8762,0.28634
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.69,2.8743,0.28241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.87,2.8723,0.27843
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.06,2.8701,0.27441
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.25,2.8677,0.27035
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.45,2.8651,0.26628
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.66,2.8622,0.26223
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444.87,2.859,0.25823
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.09,2.8555,0.25433
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.31,2.8514,0.25063
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.55,2.8469,0.24722
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.79,2.8417,0.24427
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.03,2.8359,0.24202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.29,2.8293,0.24081
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.55,2.8219,0.24115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.81,2.814,0.24376
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.09,2.806,0.24963
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.37,2.7994,0.25993
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.66,2.7966,0.27554
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.95,2.8018,0.29569
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.25,2.8196,0.31608
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.57,2.8512,0.32808
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.88,2.8901,0.32216
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.21,2.9228,0.29664
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466.54,2.9398,0.26082
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.88,2.9417,0.22568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469.23,2.9341,0.19655
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.59,2.9221,0.17406
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.95,2.9086,0.15706
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.32,2.8951,0.14418
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.7,2.8821,0.13429
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.09,2.87,0.12655
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.49,2.8586,0.12039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478.89,2.8481,0.11538
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.31,2.8383,0.11125
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481.73,2.8292,0.10777
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.16,2.8206,0.10482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.59,2.8126,0.10226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.04,2.805,0.10003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.5,2.7977,0.098055
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.96,2.7909,0.096293
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490.43,2.7844,0.094706
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.91,2.7781,0.093265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.41,2.7721,0.091945
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.91,2.7664,0.09073
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.41,2.7609,0.089603
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.93,2.7555,0.088552
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.46,2.7504,0.087568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,2.7454,0.086641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.54,2.7405,0.085765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.1,2.7358,0.084933
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,505.66,2.7313,0.084142
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.24,2.7268,0.083385
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.83,2.7225,0.082661
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.42,2.7183,0.081964
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.03,2.7141,0.081294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.64,2.7101,0.080647
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.27,2.7062,0.080022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.9,2.7023,0.079415
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.55,2.6985,0.078827
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.21,2.6949,0.078255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.87,2.6912,0.077698
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.55,2.6877,0.077156
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.24,2.6842,0.076626
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.94,2.6808,0.076108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.65,2.6774,0.075602
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.37,2.6741,0.075106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.11,2.6708,0.07462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533.85,2.6676,0.074144
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.61,2.6645,0.073676
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.38,2.6614,0.073217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.16,2.6583,0.072765
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.95,2.6553,0.072321
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.75,2.6523,0.071884
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.57,2.6494,0.071453
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.39,2.6465,0.071029
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.23,2.6437,0.070611
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.09,2.6409,0.070198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.95,2.6381,0.069792
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,553.83,2.6354,0.06939
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.72,2.6327,0.068994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.62,2.63,0.068602
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.54,2.6274,0.068216
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.47,2.6248,0.067833
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.41,2.6222,0.067455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.37,2.6197,0.067082
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.34,2.6172,0.066712
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.32,2.6147,0.066346
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.32,2.6122,0.065985
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.33,2.6098,0.065626
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.36,2.6074,0.065272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.4,2.605,0.06492
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.45,2.6027,0.064573
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.52,2.6004,0.064228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.61,2.5981,0.063887
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.71,2.5958,0.063548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.82,2.5935,0.063213
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.95,2.5913,0.06288
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.1,2.5891,0.062551
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.26,2.5869,0.062224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596.43,2.5848,0.0619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.63,2.5826,0.061579
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.84,2.5805,0.06126
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.06,2.5784,0.060943
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.3,2.5763,0.06063
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.56,2.5742,0.060318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.84,2.5722,0.060009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,612.13,2.5702,0.059703
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.44,2.5682,0.059398
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.77,2.5662,0.059096
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.11,2.5642,0.058796
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.48,2.5622,0.058498
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.86,2.5603,0.058202
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.26,2.5584,0.057909
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.68,2.5565,0.057617
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631.11,2.5546,0.057327
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.57,2.5527,0.05704
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.05,2.5508,0.056754
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.54,2.549,0.05647
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641.05,2.5472,0.056188
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643.59,2.5454,0.055908
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646.14,2.5436,0.05563
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.72,2.5418,0.055353
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651.31,2.54,0.055078
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653.93,2.5382,0.054805
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.56,2.5365,0.054534
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,659.22,2.5348,0.054264
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.9,2.5331,0.053996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.61,2.5314,0.053729
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.33,2.5297,0.053464
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670.08,2.528,0.053201
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.85,2.5263,0.052939
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.64,2.5247,0.052679
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.45,2.523,0.05242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,681.29,2.5214,0.052163
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684.15,2.5198,0.051907
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.04,2.5182,0.051653
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.95,2.5166,0.0514
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.89,2.515,0.051149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695.85,2.5135,0.050899
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.84,2.5119,0.05065
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701.85,2.5104,0.050403
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.89,2.5088,0.050157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.95,2.5073,0.049912
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711.05,2.5058,0.049669
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.16,2.5043,0.049427
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717.31,2.5028,0.049186
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.49,2.5013,0.048946
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723.69,2.4999,0.048708
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726.92,2.4984,0.048471
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.18,2.497,0.048235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733.47,2.4955,0.048001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736.79,2.4941,0.047768
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740.14,2.4927,0.047535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743.52,2.4913,0.047304
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.93,2.4899,0.047074
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750.37,2.4885,0.046846
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,753.85,2.4871,0.046618
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,757.35,2.4857,0.046392
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760.89,2.4844,0.046166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.46,2.483,0.045942
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768.07,2.4817,0.045719
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.71,2.4804,0.045497
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,775.39,2.479,0.045276
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779.1,2.4777,0.045056
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.84,2.4764,0.044837
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786.63,2.4751,0.044619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.44,2.4738,0.044402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.3,2.4725,0.044186
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.2,2.4713,0.043971
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802.13,2.47,0.043757
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806.1,2.4688,0.043544
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.11,2.4675,0.043332
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814.16,2.4663,0.043121
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818.25,2.465,0.042911
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822.39,2.4638,0.042702
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826.56,2.4626,0.042494
